epoch_5_x,epoch_5_val_acc,epoch_5_val_loss,epoch_5_train_acc,epoch_5_train_loss,epoch_10_x,epoch_10_val_acc,epoch_10_val_loss,epoch_10_train_acc,epoch_10_train_loss,epoch_25_x,epoch_25_val_acc,epoch_25_val_loss,epoch_25_train_acc,epoch_25_train_loss,epoch_50_x,epoch_50_val_acc,epoch_50_val_loss,epoch_50_train_acc,epoch_50_train_loss
0.65,75.92814371257485,0.6085236506028608,78.09904952476238,0.5963705226778984,0.65,75.9880239520958,0.6066794937307184,77.34867433716859,0.5977219730615616,0.65,77.0059880239521,0.6050437472083352,78.90445222611305,0.5917516648769379,0.65,76.22754491017965,0.6101305159655485,78.14907453726863,0.5972424611449242
1.65,85.94810379241517,0.48554101857272064,89.15957978989495,0.45577231496572496,1.65,86.00798403193613,0.489915904673663,89.04452226113057,0.45627772286534307,1.65,85.68862275449102,0.48681905323808844,89.11455727863932,0.45337476432323454,1.65,85.74850299401197,0.4895977459170602,88.75437718859429,0.4588866762816906
2.65,87.34530938123753,0.4544222219423814,92.77138569284642,0.41409154459834097,2.65,87.02594810379242,0.4524751170115037,92.58629314657328,0.4148445039987564,2.65,87.54491017964072,0.45450117913159455,92.8664332166083,0.4137207560241222,2.65,87.24550898203593,0.4544448093934493,92.57128564282141,0.41606350913643836
3.65,87.24550898203593,0.43984710628336127,94.75737868934468,0.3913171485066414,3.65,87.40518962075848,0.44015234979716217,94.67733866933467,0.3915864579379559,3.65,87.30538922155688,0.43989480896429584,94.86743371685843,0.39026187136769297,3.65,87.52495009980039,0.4401192746379159,94.6423211605803,0.3923877999186516
4.65,87.54491017964072,0.44883726943622937,96.21310655327663,0.3753699891269207,4.65,87.64471057884232,0.44919017499143427,96.20310155077539,0.37574793174862864,4.65,87.36526946107784,0.44892191074111243,96.32816408204103,0.37479962557554247,4.65,87.68463073852296,0.4497984729029916,96.15307653826913,0.37659733891487124
,,,,,5.65,87.52495009980039,0.4567241939631375,96.66333166583291,0.3701928496360779,5.65,87.42514970059881,0.4591553888537667,96.82841420710355,0.3692482739686966,5.65,87.42514970059881,0.4572222205725583,96.58329164582291,0.3709543623030186
,,,,,6.65,87.54491017964072,0.45352518829432403,96.74337168584292,0.36898023560643195,6.65,87.24550898203593,0.4517981762235815,96.91345672836418,0.3680396988987923,6.65,87.54491017964072,0.4515180425210433,96.70335167583792,0.36973040774464605
,,,,,7.65,87.48502994011976,0.445256154645573,96.83841920960481,0.3677272744476795,7.65,87.32534930139721,0.44472180713306775,97.05852926463231,0.3668049886822701,7.65,87.40518962075848,0.44555448672988196,96.82341170585293,0.3684621907770634
,,,,,8.65,87.40518962075848,0.44257007945667615,96.92846423211606,0.36655206605792046,8.65,87.42514970059881,0.4420617466623133,97.07353676838419,0.36564976349473,8.65,87.36526946107784,0.4456880471923135,96.8984492246123,0.3672791086137295
,,,,,9.65,87.36526946107784,0.4343925281004472,97.05852926463231,0.36532795503735543,9.65,87.18562874251496,0.4350870522585782,97.2136068034017,0.3644018486142159,9.65,87.48502994011976,0.4361250481822274,97.00350175087544,0.36603902131319044
,,,,,,,,,,10.65,87.18562874251496,0.4417703964493491,97.26863431715859,0.363911572098732,10.65,87.40518962075848,0.44357054883783514,97.0535267633817,0.36553051322698593
,,,,,,,,,,11.65,87.24550898203593,0.43500517444177106,97.23861930965482,0.3637786589562893,11.65,87.38522954091816,0.43528843196955597,97.07353676838419,0.365398608148098
,,,,,,,,,,12.65,87.30538922155688,0.4452749924226241,97.24362181090545,0.36367140486836436,12.65,87.38522954091816,0.4457967985760082,97.08354177088545,0.3652892969548702
,,,,,,,,,,13.65,87.16566866267465,0.45076058398593555,97.28864432216108,0.36353297978639604,13.65,87.38522954091816,0.4505549804730849,97.08854427213606,0.36514875292778015
,,,,,,,,,,14.65,87.28542914171656,0.44265913421457465,97.26363181590796,0.3634078562259674,14.65,87.40518962075848,0.4426629136909138,97.09854927463732,0.36502098590135573
,,,,,,,,,,15.65,87.28542914171656,0.443485444242304,97.25862931465733,0.363363490998745,15.65,87.38522954091816,0.44301811131564056,97.09354677338669,0.3649775817990303
,,,,,,,,,,16.65,87.28542914171656,0.456935622475364,97.26363181590796,0.363345642387867,16.65,87.38522954091816,0.455864662473852,97.09854927463732,0.3649606004357338
,,,,,,,,,,17.65,87.30538922155688,0.4376394477757541,97.26363181590796,0.363332462310791,17.65,87.38522954091816,0.43923174793070013,97.10355177588795,0.3649456053972244
,,,,,,,,,,18.65,87.28542914171656,0.43791514093225653,97.25862931465733,0.3633129149675369,18.65,87.38522954091816,0.4389623918316581,97.10855427713857,0.3649262323975563
,,,,,,,,,,19.65,87.28542914171656,0.4440000761638988,97.26363181590796,0.3633060872554779,19.65,87.38522954091816,0.44240234656767413,97.1135567783892,0.36491968631744387
,,,,,,,,,,20.65,87.28542914171656,0.4539316404949535,97.25862931465733,0.363295691460371,20.65,87.38522954091816,0.45335930585861206,97.10855427713857,0.3649080619215965
,,,,,,,,,,21.65,87.28542914171656,0.4391761503436349,97.25862931465733,0.3632956206798553,21.65,87.38522954091816,0.43869590217416937,97.1135567783892,0.3649080812931061
,,,,,,,,,,22.65,87.28542914171656,0.438581875779412,97.25862931465733,0.3632895916700363,22.65,87.38522954091816,0.4381911646236073,97.1135567783892,0.3649029456079006
,,,,,,,,,,23.65,87.28542914171656,0.4345794834873893,97.26363181590796,0.36329821720719335,23.65,87.38522954091816,0.43500471115112305,97.1135567783892,0.3649116516113281
,,,,,,,,,,24.65,87.28542914171656,0.43862306800755585,97.26363181590796,0.3632931709289551,24.65,87.38522954091816,0.44374611431902106,97.1135567783892,0.36490667536854743
,,,,,,,,,,,,,,,25.65,87.38522954091816,0.44212298772551795,97.1135567783892,0.3649084448814392
,,,,,,,,,,,,,,,26.65,87.38522954091816,0.4444072056900371,97.1135567783892,0.3649019166827202
,,,,,,,,,,,,,,,27.65,87.38522954091816,0.44329133358868683,97.1135567783892,0.3649007499217987
,,,,,,,,,,,,,,,28.65,87.38522954091816,0.44469283656640485,97.1135567783892,0.3649006821215153
,,,,,,,,,,,,,,,29.65,87.38522954091816,0.4460313076322729,97.1135567783892,0.3649000510573387
,,,,,,,,,,,,,,,30.65,87.38522954091816,0.4450721659443595,97.1135567783892,0.3648970201611519
,,,,,,,,,,,,,,,31.65,87.38522954091816,0.44959726387804205,97.1135567783892,0.36490251794457434
,,,,,,,,,,,,,,,32.65,87.38522954091816,0.444637729363008,97.1135567783892,0.3648994445800781
,,,,,,,,,,,,,,,33.65,87.38522954091816,0.44383705204183405,97.1135567783892,0.3649076297879219
,,,,,,,,,,,,,,,34.65,87.38522954091816,0.4451830414208499,97.1135567783892,0.36490473449230193
,,,,,,,,,,,,,,,35.65,87.38522954091816,0.4364599179137837,97.1135567783892,0.3648996137082577
,,,,,,,,,,,,,,,36.65,87.38522954091816,0.4404316923835061,97.1135567783892,0.36490131840109824
,,,,,,,,,,,,,,,37.65,87.38522954091816,0.43875265934250574,97.1135567783892,0.36490215361118317
,,,,,,,,,,,,,,,38.65,87.38522954091816,0.43322020227258856,97.1135567783892,0.3648999951779842
,,,,,,,,,,,,,,,39.65,87.38522954091816,0.4464094476266341,97.1135567783892,0.3649065397679806
,,,,,,,,,,,,,,,40.65,87.38522954091816,0.4416631216352636,97.1135567783892,0.3649012789130211
,,,,,,,,,,,,,,,41.65,87.38522954091816,0.44264592094854877,97.1135567783892,0.3649039477109909
,,,,,,,,,,,,,,,42.65,87.38522954091816,0.43389406258409674,97.1135567783892,0.3649051941931248
,,,,,,,,,,,,,,,43.65,87.38522954091816,0.4391272474418987,97.1135567783892,0.36491364017128947
,,,,,,,,,,,,,,,44.65,87.38522954091816,0.43950180032036523,97.1135567783892,0.36489994674921034
,,,,,,,,,,,,,,,45.65,87.38522954091816,0.458829481493343,97.1135567783892,0.364902201294899
,,,,,,,,,,,,,,,46.65,87.38522954091816,0.4423332539471713,97.1135567783892,0.36490222066640854
,,,,,,,,,,,,,,,47.65,87.38522954091816,0.4507185301997445,97.1135567783892,0.3649041920900345
,,,,,,,,,,,,,,,48.65,87.38522954091816,0.4535159468650818,97.1135567783892,0.36489781364798546
,,,,,,,,,,,,,,,49.65,87.38522954091816,0.44247906587340613,97.1135567783892,0.36489503234624865
